iter	Passed	Remaining
0	67	33550
1	110	27552
2	143	23717
3	174	21603
4	211	20918
5	241	19868
6	269	18980
7	299	18425
8	326	17813
9	356	17479
10	419	18650
11	462	18800
12	494	18508
13	534	18560
14	561	18155
15	586	17732
16	612	17394
17	624	16723118	649	16433119	665	15972220	759	17320
21	775	16855222	833	17294
23	864	17146224	979	18613
25	1012	18453
26	1023	17927	27	1072	18076
28	1101	17885
29	1115	17430	30	1148	17376
31	1203	17606
32	1242	17579
33	1284	17606
34	1317	17505
35	1341	17290
36	1382	17296
37	1445	17575
38	1479	17484
39	1493	17176
40	1537	17210
41	1578	17212
42	1595	16957
43	1645	17049
44	1718	17373
45	1757	17345
46	1805	17400
47	1823	17169
48	1869	17204
49	1907	17165
50	1947	17141
51	1959	16882
52	1995	16830
53	2023	16711
54	2071	16761
55	2086	16543
56	2119	16472
57	2154	16458	58	2209	16513
59	2231	16367
60	2310	16629
61	2377	16794
62	2420	16790
63	2434	16583
64	2507	16783
65	2530	16638
66	2583	16697
67	2612	16594
68	2666	16653
69	2696	16566
70	2750	16618
71	2769	16465
72	2812	16449
73	2885	16611
74	2934	16629
75	2969	16566
76	2993	16447
77	3027	16379
78	3100	16524
79	3116	16361
80	3142	16258
81	3195	16288
82	3215	16156
83	3226	15979
84	3275	15990
85	3343	16094
86	3366	15979
87	3417	16000
88	3451	15936
89	3475	15831
90	3489	15683
91	3538	15691
92	3578	15662
93	3615	15616
94	3665	15625
95	3711	15619
96	3749	15577
97	3763	15436
98	3792	15363
99	3817	15268
100	3886	15354
101	3919	15295
102	3938	15181
103	3985	15174
104	4008	15079
105	4065	15111
106	4099	15056
107	4137	15016
108	4163	14934
109	4191	14861
110	4245	14879
111	4309	14928
112	4340	14864
113	4376	14817
114	4394	14713
115	4438	14692
116	4478	14659
117	4518	14627
118	4546	14557
119	4567	14462
120	4581	14351
121	4592	14228
122	4643	14231
123	4704	14265
124	4725	14176
125	4768	14154
126	4787	14061
127	4839	14063
128	4866	13995
129	4897	13938
130	4944	13927
131	4969	13854
132	5019	13850
133	5067	13840
134	5122	13849
135	5166	13828
136	5189	13751
137	5231	13722
138	5258	13655
139	5302	13634
140	5338	13591
141	5378	13560
142	5425	13544
143	5468	13519
144	5512	13495
145	5545	13445
146	5599	13445
147	5630	13392
148	5652	13316
149	5689	13275
150	5717	13213
151	5766	13202
152	5813	13184
153	5860	13167
154	5895	13121
155	5919	13052
156	5968	13038
157	5998	12984
158	6022	12916
159	6101	12964
160	6131	12909
161	6182	12898
162	6217	12855
163	6235	12775
164	6290	12771
165	6313	12703
166	6360	12682
167	6387	12622
168	6419	12572
169	6459	12538
170	6482	12472
171	6513	12420
172	6530	12344
173	6595	12356
174	6622	12298
175	6660	12260
176	6686	12201
177	6726	12168
178	6744	12094
179	6778	12050
180	6837	12050
181	6879	12019
182	6913	11975
183	6969	11969
184	6988	11899
185	7029	11867
186	7055	11810
187	7090	11767
188	7131	11734
189	7181	11717
190	7228	11694
191	7276	11672
192	7457	11861
193	7531	11878
194	7581	11858
195	7615	11812
196	7632	11739
197	7668	11696
198	7689	11631
199	7742	11614
200	7777	11569
201	7807	11517
202	7858	11497
203	7887	11443
204	7931	11413
205	7955	11353
206	7983	11299
207	8035	11281
208	8047	11204
209	8105	11193
210	8140	11149
211	8162	11088
212	8213	11067
213	8243	11017
214	8306	11010
215	8365	10998
216	8402	10958
217	8430	10905
218	8456	10850
219	8476	10787
220	8503	10735
221	8561	10720
222	8604	10688
223	8659	10670
224	8702	10636
225	8755	10615
226	8774	10553
227	8818	10520
228	8865	10491
229	8888	10434
230	8906	10371
231	8988	10382
232	9002	10315
233	9036	10272
234	9076	10235
235	9092	10170
236	9162	10167
237	9182	10108
238	9205	10053
239	9220	9988
240	9235	9925
241	9288	9902
242	9345	9883
243	9371	9832
244	9400	9783
245	9430	9736
246	9480	9711
247	9517	9671
248	9552	9629
249	9612	9612
250	9692	9615
251	9714	9560
252	9750	9518
253	9808	9499
254	9821	9436
255	9862	9400
256	9904	9364
257	9950	9333
258	9981	9287
259	10001	9231
260	10035	9189
261	10047	9127
262	10088	9091
263	10142	9066
264	10175	9023
265	10217	8988
266	10253	8947
267	10302	8918
268	10343	8882
269	10390	8851
270	10430	8813
271	10502	8803
272	10547	8769
273	10590	8734
274	10649	8712
275	10681	8669
276	10765	8666
277	10785	8612
278	10844	8590
279	10865	8537
280	10976	8554
281	11000	8504
282	11041	8466
283	11089	8434
284	11152	8413
285	11196	8377
286	11248	8348
287	11297	8316
288	11337	8277
289	11366	8230
290	11443	8218
291	11480	8177
292	11531	8146
293	11601	8128
294	11633	8084
295	11669	8042
296	11701	7998
297	11770	7978
298	11828	7951
299	11877	7918
300	11932	7889
301	11978	7853
302	12014	7811
303	12089	7794
304	12161	7775
305	12189	7728
306	12235	7692
307	12301	7668
308	12319	7615
309	12333	7559
310	12346	7503
311	12360	7448
312	12377	7394
313	12393	7341
314	12410	7288
315	12423	7233
316	12447	7185
317	12572	7195
318	12621	7161
319	12640	7110
320	12684	7073
321	12725	7034
322	12761	6993
323	12813	6960
324	12848	6918
325	12882	6875
326	12898	6823
327	12940	6785
328	12981	6747
329	13018	6706
330	13032	6654
331	13071	6614
332	13086	6562
333	13144	6533
334	13185	6494
335	13207	6446
336	13241	6404
337	13271	6360
338	13291	6312
339	13322	6269
340	13356	6227
341	13390	6186
342	13438	6151
343	13456	6102
344	13489	6060
345	13507	6011
346	13552	5975
347	13571	5927
348	13633	5898
349	13696	5870
350	13723	5825
351	13766	5788
352	13786	5741
353	13867	5719
354	13888	5672
355	13924	5632
356	13948	5587
357	13973	5542
358	13994	5496
359	14073	5473
360	14131	5441
361	14175	5403
362	14190	5355
363	14239	5320
364	14270	5278
365	14344	5251
366	14393	5216
367	14412	5169
368	14431	5123
369	14500	5094
370	14520	5048
371	14564	5011
372	14593	4968
373	14623	4926
374	14671	4890
375	14720	4854
376	14755	4814
377	14772	4767
378	14816	4730
379	14840	4686
380	14878	4647
381	14894	4600
382	14927	4560
383	14962	4519
384	14994	4479
385	15022	4436
386	15051	4394
387	15074	4351
388	15106	4310
389	15136	4269
390	15169	4228
391	15193	4185
392	15234	4147
393	15265	4106
394	15281	4062
395	15303	4019
396	15369	3987
397	15406	3948
398	15444	3909
399	15487	3871
400	15525	3832
401	15569	3795
402	15585	3751
403	15636	3715
404	15652	3671
405	15685	3631
406	15712	3590
407	15738	3548
408	15771	3508
409	15791	3466
410	15812	3424
411	15850	3385
412	15872	3343
413	15905	3303
414	15927	3262
415	15965	3223
416	15988	3182
417	16017	3142
418	16042	3101
419	16069	3060
420	16110	3023
421	16132	2981
422	16168	2943
423	16200	2903
424	16231	2864
425	16252	2823
426	16282	2783
427	16305	2742
428	16332	2702
429	16358	2662
430	16394	2624
431	16423	2585
432	16458	2546
433	16490	2507
434	16524	2469
435	16576	2433
436	16612	2394
437	16635	2354
438	16667	2315
439	16688	2275
440	16744	2240
441	16769	2200
442	16816	2163
443	16857	2126
444	16887	2087
445	16909	2047
446	16932	2007
447	17014	1974
448	17110	1943
449	17134	1903
450	17148	1863
451	17172	1823
452	17211	1785
453	17248	1747
454	17290	1710
455	17320	1671
456	17338	1631
457	17389	1594
458	17415	1555
459	17454	1517
460	17490	1479
461	17535	1442
462	17555	1402
463	17584	1364
464	17616	1325
465	17637	1286
466	17661	1248
467	17703	1210
468	17737	1172
469	17789	1135
470	17828	1097
471	17858	1059
472	17880	1020
473	17906	982
474	17938	944
475	17957	905
476	17987	867
477	18015	829
478	18043	791
479	18068	752
480	18103	715
481	18129	677
482	18157	639
483	18175	600
484	18194	562
485	18220	524
486	18243	487
487	18263	449
488	18288	411
489	18304	373
490	18317	335
491	18332	298
492	18345	260
493	18357	222
494	18369	185
495	18382	148
496	18391	111
497	18400	73
498	18412	36
499	18423	0
